scale_factor,redshift,D_plus_LCDM,D_plus_diss
0.14545454545454545,5.875,0.10280759494544528,0.10930467082821073
0.15454545454545454,5.470588235294118,0.10963705266233291,0.11645545672353824
0.16363636363636364,5.111111111111111,0.11651561975556428,0.12364524741760687
0.17272727272727273,4.7894736842105265,0.12344356606095368,0.13087429650084367
0.18181818181818182,4.5,0.1304211627385035,0.13814286036573548
0.19090909090909092,4.238095238095238,0.13744868227850812,0.14545119825463157
0.2,4.0,0.14452639850768498,0.15279957230880903
0.2090909090909091,3.782608695652174,0.15165458659533243,0.16018824761885128
0.2181818181818182,3.583333333333333,0.15883352305951517,0.16761749227639391
0.22727272727272727,3.4000000000000004,0.16606348577327698,0.17508757742729375
0.23636363636363636,3.230769230769231,0.17334475397088087,0.18259877732628185
0.24545454545454545,3.0740740740740744,0.180677608254077,0.19015136939316313
0.2545454545454545,2.928571428571429,0.1880623305983982,0.1977456342706294
0.26363636363636367,2.7931034482758617,0.19549920435948356,0.20538185588375774
0.2727272727272727,2.666666666666667,0.20298851427942946,0.21306032150126752
0.28181818181818186,2.548387096774193,0.21053054649316988,0.22078132179861878
0.2909090909090909,2.4375,0.21812558853488323,0.22854515092303224
0.3,2.3333333333333335,0.22577392934442925,0.23635210656052594
0.3090909090909091,2.235294117647059,0.233475859273813,0.24420249000505925
0.3181818181818182,2.142857142857143,0.24123167009367846,0.25209660622988983
0.32727272727272727,2.0555555555555554,0.24904165499983016,0.2600347639612496
0.33636363636363636,1.9729729729729728,0.2569061086197839,0.26801727575445594
0.34545454545454546,1.8947368421052633,0.2648253270193464,0.27604445807258193
0.3545454545454545,1.8205128205128207,0.2727996077092244,0.284116631367817
0.36363636363636365,1.75,0.2808292496516621,0.29223412016565864
0.3727272727272727,1.6829268292682928,0.28891455326710885,0.30039725315208604
0.38181818181818183,1.619047619047619,0.2970558204409158,0.3086063632638784
0.3909090909090909,1.558139534883721,0.3052533545300621,0.3168617877822495
0.4,1.5,0.31350746036991145,0.3251638684299862
0.40909090909090906,1.4444444444444446,0.3218184442809972,0.33351295147229015
0.4181818181818182,1.391304347826087,0.3301866140758393,0.34190938782154
0.42727272727272725,1.3404255319148937,0.33861227906578917,0.3503535331462028
0.4363636363636364,1.2916666666666665,0.347095750067907,0.3588457479841506
0.44545454545454544,1.2448979591836737,0.3556373394118672,0.36738639786064703
0.4545454545454546,1.1999999999999997,0.3642373609468967,0.37597585341130335
0.4636363636363636,1.156862745098039,0.37289613004874145,0.3846144905103157
0.47272727272727266,1.1153846153846159,0.3816139636266659,0.3933026904043331
0.4818181818181818,1.0754716981132075,0.3903911801304817,0.40204083985232647
0.49090909090909085,1.0370370370370372,0.399228099557608,0.4108293312718692
0.5,1.0,0.4081250434601637,0.4196685628922731
0.509090909090909,0.9642857142857144,0.4170823349520891,0.4285589389150615
